tenure_days,recency_days,frequency,avg_order_value,monetary_value,churned
163,163,1,277.07,277.07,1
197,4,4,381.5,1526.01,0
37,37,1,500.24,500.24,0
275,275,1,112.6,112.6,1
4,1,2,361.55,723.1,0
213,213,1,155.05,155.05,1
147,91,2,259.88,519.75,1
13,13,1,260.74,260.74,0
42,42,1,331.14,331.14,0
45,0,2,789.56,1579.12,1
226,80,2,1344.88,2689.75,0
259,259,1,110.7,110.7,0
227,209,3,380.12,1140.35,1
169,52,2,192.82,385.64,1
218,43,4,357.46,1429.84,0
84,84,1,189.5,189.5,1
51,41,2,150.38,300.76,0
277,46,4,362.71,1450.85,0
67,67,1,383.85,383.85,1
123,63,2,268.67,537.34,0
225,119,2,133.29,266.59,1
277,25,3,155.85,467.54,0
160,160,1,85.0,85.0,1
274,63,7,309.32,2165.27,0
268,150,2,331.96,663.93,0
274,0,3,418.33,1255.0,1
78,78,1,593.58,593.58,0
37,37,1,1595.48,1595.48,1
196,3,3,883.82,2651.46,1
273,0,20,323.46,6469.16,0
111,76,3,129.5,388.5,1
234,234,1,201.16,201.16,1
240,16,6,296.88,1781.3,0
155,155,1,305.78,305.78,1
197,44,3,127.78,383.34,0
126,126,1,138.85,138.85,0
265,31,4,770.91,3083.65,1
195,9,5,435.89,2179.47,0
216,0,9,512.52,4612.64,0
217,27,3,129.87,389.6,1
266,266,1,540.45,540.45,1
209,41,4,356.2,1424.8,0
275,53,8,210.1,1680.76,0
219,3,11,854.43,9398.68,0
161,126,4,435.7,1742.78,0
191,185,3,65.42,196.25,0
108,97,2,253.4,506.8,1
112,112,1,349.55,349.55,1
126,27,2,297.83,595.67,1
1,0,1,416.9,416.9,1
266,15,2,250.56,501.11,0
154,154,1,54.52,54.52,0
205,205,1,821.1,821.1,1
218,218,1,160.85,160.85,0
72,51,2,468.65,937.3,0
233,233,1,155.93,155.93,1
182,182,1,298.5,298.5,0
170,91,3,246.98,740.95,1
226,15,4,663.07,2652.28,0
202,202,1,201.12,201.12,0
184,34,3,470.54,1411.61,0
216,52,8,304.7,2437.63,0
99,99,1,65.38,65.38,0
161,161,1,198.2,198.2,0
29,29,1,195.15,195.15,0
259,259,1,172.25,172.25,1
42,0,4,169.56,678.25,1
41,14,2,112.72,225.45,0
234,77,2,421.32,842.65,1
44,44,1,210.0,210.0,0
188,3,2,618.76,1237.53,1
202,202,1,307.4,307.4,1
56,17,2,304.4,608.79,1
171,171,1,922.1,922.1,1
87,87,1,376.58,376.58,1
77,77,1,158.85,158.85,1
219,16,2,195.1,390.21,0
52,24,2,195.53,391.06,0
280,79,3,943.75,2831.26,0
175,109,2,242.98,485.97,0
268,268,1,102.0,102.0,1
2,2,1,537.9,537.9,0
154,154,1,179.31,179.31,0
202,84,3,224.82,674.45,1
146,125,2,1625.54,3251.07,1
260,23,5,520.87,2604.36,0
213,62,2,161.48,322.96,1
179,46,3,225.36,676.07,0
270,189,2,168.72,337.44,0
153,153,1,117.6,117.6,0
275,216,4,166.14,664.54,1
53,53,1,80.7,80.7,1
273,15,11,353.02,3883.23,0
193,14,6,330.98,1985.9,0
109,109,1,145.9,145.9,0
195,195,1,264.7,264.7,1
184,36,4,366.67,1466.67,0
114,114,1,357.98,357.98,1
273,71,3,410.05,1230.14,0
274,95,8,210.13,1681.06,0
274,34,4,204.83,819.33,0
172,15,7,396.15,2773.04,0
162,70,3,641.17,1923.5,0
147,147,1,896.67,896.67,0
121,121,1,311.3,311.3,1
51,51,1,126.35,126.35,0
238,8,6,374.57,2247.41,0
56,13,2,209.78,419.56,0
153,23,3,290.63,871.9,0
269,3,9,318.77,2868.97,0
119,119,1,635.66,635.66,1
281,140,2,654.57,1309.14,0
64,42,2,264.86,529.73,1
196,6,5,640.65,3203.26,0
123,41,3,232.19,696.56,0
220,23,3,320.73,962.19,1
113,106,2,347.8,695.61,1
185,185,1,328.8,328.8,1
183,18,3,157.67,473.02,1
265,69,4,1072.8,4291.21,1
46,6,2,400.26,800.53,0
164,63,3,210.63,631.9,1
133,133,1,440.0,440.0,1
158,158,1,273.14,273.14,0
32,29,2,163.85,327.7,1
52,52,1,165.2,165.2,0
274,29,6,276.25,1657.5,0
280,34,13,740.54,9627.03,0
274,76,6,307.56,1845.37,0
65,65,2,236.96,473.91,0
205,15,3,279.09,837.26,0
192,192,1,626.65,626.65,1
272,84,2,73.6,147.2,1
115,52,2,543.21,1086.42,0
239,2,10,273.45,2734.46,0
174,174,1,141.41,141.41,1
217,11,3,178.57,535.71,0
281,17,4,414.94,1659.75,1
192,192,1,151.59,151.59,1
280,107,3,211.97,635.92,0
213,213,1,409.93,409.93,1
225,66,3,1081.58,3244.74,0
14,14,1,485.98,485.98,0
274,21,15,579.16,8687.44,0
67,32,2,130.12,260.25,1
14,14,1,725.64,725.64,1
192,15,17,313.76,5333.97,0
268,8,13,369.67,4805.68,0
174,174,1,183.6,183.6,1
280,16,14,293.06,4102.78,0
272,20,9,866.87,7801.79,0
182,21,4,274.26,1097.03,0
174,174,1,152.55,152.55,1
4,4,1,224.67,224.67,0
228,228,1,265.85,265.85,1
172,168,2,178.4,356.81,0
169,169,1,307.92,307.92,0
37,37,1,118.67,118.67,1
182,90,3,103.47,310.4,0
281,9,6,174.9,1049.37,1
32,32,1,375.1,375.1,1
277,210,2,460.81,921.62,1
272,272,1,182.25,182.25,1
279,34,7,76.2,533.39,0
276,49,12,268.41,3220.94,0
230,36,7,3643.98,25507.89,0
232,232,1,76.32,76.32,1
266,7,10,274.54,2745.42,0
9,6,2,48.72,97.43,0
262,28,8,288.74,2309.92,0
45,45,1,191.95,191.95,1
234,50,5,988.88,4944.39,0
73,62,2,108.1,216.21,1
147,147,1,1266.23,1266.23,1
272,4,6,410.32,2461.94,0
9,9,1,291.33,291.33,0
174,27,5,651.92,3259.62,0
149,3,3,98.5,295.5,0
183,38,4,475.2,1900.82,0
262,262,1,433.5,433.5,0
238,181,2,193.26,386.53,1
29,0,2,314.44,628.87,0
51,51,1,90.0,90.0,1
218,30,3,236.57,709.71,1
163,163,1,305.54,305.54,0
168,3,3,242.08,726.23,0
227,227,1,480.91,480.91,1
91,21,5,310.49,1552.46,0
223,37,3,201.88,605.64,1
280,13,10,319.03,3190.32,0
13,13,1,285.16,285.16,0
281,281,1,311.81,311.81,1
41,41,1,115.8,115.8,1
125,64,3,950.4,2851.2,0
265,162,2,951.86,1903.73,0
193,193,1,182.8,182.8,0
141,141,1,157.2,157.2,1
128,128,1,446.62,446.62,1
267,267,1,306.18,306.18,0
142,142,1,314.51,314.51,0
147,147,2,672.81,1345.62,1
174,174,1,118.75,118.75,1
279,1,41,2396.07,98238.79,0
193,193,1,269.18,269.18,0
270,3,7,390.39,2732.73,0
277,123,3,365.87,1097.62,1
200,81,2,144.68,289.36,1
147,60,3,553.13,1659.39,0
183,183,1,120.44,120.44,1
239,73,3,129.95,389.85,0
6,6,1,363.79,363.79,1
127,127,1,114.04,114.04,0
237,79,2,603.0,1205.99,0
275,205,4,144.22,576.9,1
87,3,3,99.82,299.46,0
90,6,3,159.1,477.29,0
280,14,21,195.72,4110.12,0
239,239,1,197.65,197.65,1
218,17,4,345.86,1383.46,0
276,4,11,297.08,3267.92,0
128,16,7,322.61,2258.26,0
177,177,1,422.54,422.54,0
216,14,12,472.2,5666.45,0
160,109,2,506.0,1012.0,1
14,14,1,335.52,335.52,1
147,53,2,178.48,356.95,0
126,126,1,185.4,185.4,1
267,57,5,104.25,521.24,0
172,172,1,222.9,222.9,0
147,147,1,328.16,328.16,1
2,2,1,151.74,151.74,1
240,29,5,375.27,1876.33,0
279,13,6,317.64,1905.84,1
203,4,6,188.32,1129.93,0
185,64,3,299.72,899.16,0
276,94,4,274.57,1098.27,0
274,7,10,121.15,1211.5,0
266,155,2,316.2,632.4,1
247,21,7,373.86,2617.01,0
85,85,1,683.17,683.17,1
172,0,3,330.38,991.13,1
228,18,4,252.43,1009.73,1
177,118,2,846.0,1692.0,0
192,104,7,342.79,2399.52,0
241,199,2,381.06,762.13,0
196,91,3,308.57,925.71,1
172,23,4,393.33,1573.33,0
225,119,3,319.7,959.1,0
168,65,4,700.72,2802.86,0
280,280,1,189.3,189.3,0
281,281,1,161.0,161.0,1
234,234,1,146.85,146.85,1
224,2,9,208.99,1880.89,0
133,133,1,226.85,226.85,0
91,91,1,213.7,213.7,1
233,142,2,140.28,280.55,1
273,3,8,288.24,2305.95,0
171,127,2,846.72,1693.45,1
153,18,3,491.35,1474.06,1
186,186,1,136.77,136.77,1
226,226,1,302.58,302.58,1
272,168,2,484.53,969.06,1
226,31,4,681.46,2725.84,0
245,59,7,1340.9,9386.32,0
49,49,1,120.0,120.0,1
148,15,3,285.0,855.0,0
153,62,2,166.98,333.97,1
56,17,2,265.09,530.18,1
168,70,3,505.41,1516.24,1
239,239,1,492.65,492.65,1
133,133,1,112.32,112.32,1
162,162,1,132.09,132.09,0
150,44,3,150.02,450.05,0
197,6,3,373.25,1119.74,1
120,120,1,1629.03,1629.03,0
104,104,1,134.04,134.04,1
275,17,9,274.17,2467.54,0
84,84,1,5.9,5.9,0
150,150,1,2050.08,2050.08,0
106,106,2,41.64,83.28,0
121,121,1,426.6,426.6,1
197,42,5,166.56,832.78,0
269,269,1,777.56,777.56,0
183,28,7,336.51,2355.54,0
190,53,4,647.55,2590.21,0
276,55,3,246.47,739.41,0
182,182,1,232.6,232.6,0
268,7,37,1113.04,41182.51,0
273,15,5,487.43,2437.14,0
25,25,1,640.14,640.14,1
130,130,1,383.45,383.45,1
43,21,2,524.22,1048.45,0
281,42,4,576.97,2307.89,0
266,1,7,233.39,1633.7,0
150,150,1,310.26,310.26,1
245,94,4,213.65,854.59,0
14,14,1,120.0,120.0,1
174,37,5,310.03,1550.15,0
240,114,2,238.9,477.79,1
241,24,3,300.22,900.65,0
146,22,2,302.53,605.06,1
150,150,1,183.85,183.85,1
71,71,1,311.65,311.65,1
237,16,4,871.26,3485.03,0
43,32,2,231.33,462.66,1
55,55,1,119.04,119.04,0
266,1,7,332.67,2328.71,0
4,4,1,347.5,347.5,0
184,106,3,371.46,1114.39,0
104,69,2,294.11,588.22,1
150,150,1,309.52,309.52,1
126,126,1,134.7,134.7,1
226,38,6,189.92,1139.52,0
118,45,2,209.87,419.74,0
276,35,8,111.24,889.93,1
205,28,2,510.79,1021.58,1
168,168,1,409.57,409.57,1
182,182,1,282.93,282.93,1
72,72,1,51.0,51.0,1
181,65,4,269.74,1078.96,1
123,123,1,90.6,90.6,1
273,273,1,174.4,174.4,1
2,2,1,1124.49,1124.49,0
119,16,8,464.67,3717.35,1
184,45,10,541.97,5419.7,0
227,227,1,155.0,155.0,1
203,203,1,100.5,100.5,1
266,266,1,76.55,76.55,1
93,93,1,235.56,235.56,1
170,99,2,308.52,617.05,1
203,203,1,110.98,110.98,0
71,71,1,242.09,242.09,0
204,204,1,142.4,142.4,1
17,17,1,440.76,440.76,0
280,29,5,367.02,1835.11,0
98,98,1,311.14,311.14,0
280,52,4,397.68,1590.71,0
126,126,1,67.95,67.95,1
280,85,6,325.39,1952.32,0
279,279,1,110.35,110.35,0
121,1,10,103.61,1036.12,0
57,57,1,574.7,574.7,1
267,3,10,307.94,3079.38,0
155,38,4,368.95,1475.81,1
277,16,5,264.5,1322.52,0
27,27,1,156.75,156.75,1
184,15,5,428.55,2142.73,1
172,2,6,381.8,2290.81,0
276,30,5,388.75,1943.73,0
213,0,9,122.14,1099.27,1
218,218,1,1063.0,1063.0,1
270,270,1,121.05,121.05,1
266,7,6,218.52,1311.14,0
268,6,9,418.46,3766.13,0
16,16,1,150.44,150.44,0
272,160,2,153.57,307.14,0
7,7,1,387.52,387.52,1
119,119,1,455.18,455.18,0
175,78,2,516.08,1032.15,0
126,126,1,265.2,265.2,1
220,48,6,480.93,2885.58,0
233,147,2,165.31,330.62,0
210,210,1,470.36,470.36,1
6,6,1,89.06,89.06,1
273,273,1,63.0,63.0,1
214,214,1,131.9,131.9,1
227,227,1,2661.24,2661.24,1
273,224,2,592.86,1185.71,0
163,2,2,348.7,697.4,0
224,112,2,794.91,1589.82,1
276,46,3,330.51,991.52,0
154,154,1,303.04,303.04,0
188,104,2,300.52,601.03,0
272,272,1,102.35,102.35,0
280,154,2,199.96,399.91,0
228,88,3,161.08,483.25,1
102,102,1,360.0,360.0,0
1,1,1,127.37,127.37,0
98,98,1,119.93,119.93,1
50,39,3,211.23,633.69,0
218,218,1,113.64,113.64,1
63,63,1,1837.92,1837.92,1
218,18,3,144.78,434.34,1
169,56,3,700.89,2102.67,1
247,28,9,167.29,1505.65,0
113,6,3,176.54,529.62,1
210,154,3,346.15,1038.44,1
280,23,5,316.09,1580.45,0
220,220,1,131.7,131.7,0
195,195,1,297.64,297.64,0
263,11,8,231.58,1852.67,1
190,190,1,85.0,85.0,0
212,94,2,311.08,622.17,0
165,165,1,193.0,193.0,1
205,92,2,261.5,523.0,0
273,161,2,158.12,316.25,1
195,72,2,318.26,636.51,1
147,7,2,232.98,465.95,0
189,189,1,137.1,137.1,1
276,276,1,125.1,125.1,0
115,115,1,463.38,463.38,1
280,83,2,170.46,340.93,1
63,63,1,611.22,611.22,0
29,29,1,40.6,40.6,0
281,219,2,269.4,538.81,1
217,217,1,475.37,475.37,1
269,24,4,320.45,1281.79,0
186,41,2,183.9,367.81,0
97,20,2,167.92,335.85,0
227,91,2,125.6,251.21,1
221,57,7,166.17,1163.22,0
86,86,1,597.07,597.07,0
186,151,3,180.9,542.71,0
270,17,6,703.79,4222.74,0
277,70,3,272.99,818.96,0
184,9,4,231.17,924.69,0
41,0,2,164.94,329.89,0
140,95,2,137.64,275.28,1
196,8,3,151.86,455.59,1
239,109,2,201.56,403.11,0
126,99,2,382.82,765.65,0
49,49,1,252.45,252.45,0
198,198,1,165.0,165.0,0
106,0,2,380.35,760.7,0
16,16,1,241.09,241.09,1
268,86,5,205.77,1028.87,0
269,8,7,402.9,2820.29,0
277,6,40,132.01,5280.42,0
18,18,1,135.24,135.24,0
204,1,5,496.46,2482.32,0
260,144,4,233.21,932.85,1
260,20,2,367.49,734.98,0
226,3,14,216.41,3029.74,0
156,35,2,826.4,1652.81,0
167,167,1,170.95,170.95,1
164,164,1,106.5,106.5,0
217,217,1,195.9,195.9,0
227,76,7,186.76,1307.35,0
93,93,1,103.25,103.25,1
272,16,13,246.14,3199.85,0
269,269,1,1101.77,1101.77,0
156,109,2,437.44,874.88,0
225,58,2,326.4,652.8,1
219,219,1,289.24,289.24,1
112,112,1,125.43,125.43,0
59,59,1,164.22,164.22,1
247,126,2,156.16,312.32,0
210,210,1,186.34,186.34,0
265,2,15,104.35,1565.2,0
92,70,2,283.5,566.99,0
212,0,7,329.91,2309.38,0
269,3,4,737.28,2949.12,1
18,18,1,1432.0,1432.0,1
38,38,1,800.76,800.76,0
188,188,2,108.6,217.21,1
232,18,5,412.65,2063.24,0
280,87,9,182.2,1639.82,1
280,280,1,35.4,35.4,1
270,71,3,215.55,646.64,0
113,52,4,185.43,741.72,0
106,77,4,258.26,1033.06,1
184,184,1,237.36,237.36,1
239,92,8,181.58,1452.68,0
279,279,1,39.75,39.75,1
121,121,1,204.02,204.02,0
106,106,2,169.8,339.59,0
281,281,1,255.0,255.0,0
221,221,1,163.8,163.8,0
99,99,1,165.1,165.1,0
213,213,1,393.33,393.33,1
182,182,1,660.0,660.0,1
281,1,68,137.63,9358.91,0
169,169,1,495.0,495.0,0
270,270,1,204.0,204.0,0
204,51,3,162.12,486.36,0
225,150,3,135.36,406.08,1
245,245,1,211.8,211.8,0
153,153,1,394.44,394.44,1
191,113,2,206.39,412.78,1
266,64,3,334.3,1002.91,0
92,92,1,320.58,320.58,1
143,24,3,200.49,601.48,0
269,104,2,449.82,899.63,1
141,30,2,785.64,1571.29,0
150,150,1,331.58,331.58,0
206,143,2,315.04,630.08,0
170,170,1,114.56,114.56,1
174,174,1,344.9,344.9,1
176,176,1,300.19,300.19,0
269,28,4,497.31,1989.23,0
135,35,4,370.84,1483.36,0
266,78,2,346.9,693.81,1
206,206,1,187.5,187.5,0
183,64,2,298.54,597.09,1
262,0,42,4231.66,177729.62,0
109,109,1,236.04,236.04,1
120,120,2,291.06,582.12,0
119,119,1,415.47,415.47,0
246,246,1,344.81,344.81,0
130,130,1,810.56,810.56,0
191,77,2,145.52,291.05,1
234,63,3,212.98,638.94,0
25,25,1,123.14,123.14,0
223,53,6,273.59,1641.55,0
8,8,1,128.95,128.95,0
224,142,3,170.76,512.28,0
218,204,3,243.89,731.66,0
276,2,18,333.73,6007.21,0
240,149,3,419.75,1259.24,1
188,188,2,196.43,392.86,1
244,142,2,382.78,765.55,1
275,275,1,373.49,373.49,0
191,55,4,422.73,1690.92,0
279,3,14,1815.9,25422.56,0
119,119,1,393.95,393.95,0
109,95,2,26.0,52.0,1
270,123,2,246.72,493.44,0
14,14,1,628.38,628.38,1
281,0,16,261.65,4186.45,0
116,116,1,112.8,112.8,1
59,59,1,212.56,212.56,0
120,4,2,637.34,1274.68,0
230,45,4,147.89,591.55,1
172,172,1,172.9,172.9,1
281,27,5,291.71,1458.54,0
126,126,2,94.3,188.61,1
122,122,1,109.13,109.13,1
146,97,2,770.55,1541.1,0
224,80,7,277.35,1941.43,0
273,24,9,183.47,1651.25,0
88,50,2,103.75,207.5,0
106,106,1,179.0,179.0,1
276,62,2,350.59,701.18,0
266,1,9,439.19,3952.74,0
170,17,8,257.09,2056.73,0
20,20,1,115.72,115.72,0
273,7,9,225.51,2029.61,0
239,2,3,198.25,594.75,0
56,56,1,181.72,181.72,0
157,87,2,244.06,488.12,0
34,34,1,155.8,155.8,0
55,55,1,180.42,180.42,1
279,266,3,151.32,453.95,0
182,182,1,268.58,268.58,1
281,281,1,313.49,313.49,1
184,15,5,174.43,872.13,0
120,113,2,125.51,251.02,0
247,51,5,323.66,1618.3,0
275,18,11,822.2,9044.2,0
266,7,23,156.34,3595.71,0
261,36,2,540.88,1081.75,0
224,41,5,151.53,757.65,0
275,2,4,561.9,2247.58,0
191,105,3,482.74,1448.21,1
280,21,4,216.24,864.96,0
274,205,5,185.61,928.03,0
193,20,5,244.05,1220.26,1
157,157,1,328.2,328.2,1
276,31,4,279.69,1118.77,0
203,203,1,228.27,228.27,0
242,20,7,409.67,2867.68,0
167,52,4,371.02,1484.06,1
140,20,2,435.42,870.85,0
205,205,1,89.2,89.2,1
242,242,1,97.5,97.5,0
171,171,1,300.52,300.52,1
84,20,2,47.75,95.5,0
274,76,4,382.83,1531.32,0
35,35,1,133.2,133.2,0
265,16,6,1047.47,6284.84,0
231,140,2,438.21,876.42,1
20,20,1,139.26,139.26,1
280,45,2,350.73,701.46,0
220,13,8,232.78,1862.22,0
216,35,2,365.43,730.86,1
231,188,3,128.72,386.15,1
227,227,1,200.1,200.1,1
231,231,1,114.68,114.68,0
161,27,2,182.02,364.04,0
242,111,4,169.88,679.54,0
74,74,1,131.45,131.45,1
274,2,14,469.97,6579.62,0
218,52,2,48.7,97.4,0
277,17,9,425.83,3832.49,0
200,70,3,281.85,845.55,1
221,221,1,109.25,109.25,0
80,52,6,305.64,1833.82,0
277,11,10,186.68,1866.78,0
277,277,2,76.44,152.88,1
105,105,1,271.85,271.85,1
185,108,2,505.17,1010.34,1
161,77,2,204.82,409.63,0
100,100,1,84.72,84.72,0
81,81,1,139.77,139.77,0
274,274,1,48.8,48.8,1
102,88,3,107.14,321.43,1
276,35,7,190.5,1333.47,0
244,104,3,713.25,2139.76,1
280,92,3,177.21,531.63,0
148,28,2,214.65,429.3,0
109,13,3,448.52,1345.56,0
175,175,1,62.85,62.85,1
266,87,4,593.89,2375.57,0
216,3,3,633.84,1901.52,0
149,31,3,752.56,2257.68,0
56,56,1,309.4,309.4,1
281,3,17,340.27,5784.53,0
219,219,1,325.75,325.75,1
164,164,1,206.13,206.13,0
160,4,5,437.68,2188.42,0
119,119,1,214.5,214.5,0
182,41,6,380.3,2281.83,0
42,27,2,322.82,645.65,1
56,56,1,522.52,522.52,0
112,112,1,296.86,296.86,0
56,56,1,304.1,304.1,0
280,280,1,37.2,37.2,0
274,13,3,375.8,1127.4,0
244,93,3,236.76,710.28,1
141,28,4,324.27,1297.07,0
11,11,1,387.06,387.06,0
169,169,1,327.25,327.25,1
268,86,3,111.77,335.3,0
118,118,1,519.68,519.68,1
170,15,2,732.66,1465.32,1
266,81,6,180.5,1083.02,0
196,93,2,173.84,347.67,0
119,71,2,179.24,358.48,0
39,39,1,765.32,765.32,1
160,160,1,364.8,364.8,1
115,115,1,369.2,369.2,1
244,244,1,135.9,135.9,1
161,161,1,125.65,125.65,1
95,56,2,277.19,554.38,1
198,18,10,608.17,6081.71,0
273,112,2,234.38,468.77,1
204,204,1,175.5,175.5,0
279,42,5,198.24,991.18,0
280,9,5,164.42,822.12,0
186,32,4,599.66,2398.62,0
141,65,2,308.08,616.15,1
275,7,5,521.64,2608.18,0
281,1,109,698.21,76104.45,0
154,154,1,482.79,482.79,0
267,91,3,305.72,917.15,0
185,185,1,142.28,142.28,0
232,1,3,322.59,967.76,0
62,23,2,805.08,1610.15,1
120,120,2,488.88,977.77,1
109,109,1,903.01,903.01,0
153,153,1,310.05,310.05,1
182,16,3,787.65,2362.96,1
148,148,1,243.0,243.0,0
273,273,1,313.53,313.53,1
190,190,1,828.84,828.84,0
205,205,1,1784.71,1784.71,1
183,16,3,1690.96,5072.88,0
38,38,1,759.56,759.56,0
204,2,7,452.03,3164.19,0
38,38,1,178.5,178.5,0
127,6,4,159.81,639.23,0
272,114,7,504.94,3534.61,0
161,161,1,58.49,58.49,1
153,55,3,161.24,483.73,1
204,17,3,179.11,537.32,0
79,79,1,88.3,88.3,0
268,62,6,651.16,3906.98,0
178,178,1,126.7,126.7,1
91,91,1,294.2,294.2,0
155,155,1,206.21,206.21,1
4,4,2,298.04,596.09,1
224,45,3,373.25,1119.75,0
36,36,1,114.77,114.77,1
133,15,3,438.15,1314.45,1
234,9,4,139.99,559.96,0
238,143,4,381.81,1527.23,0
154,154,1,102.12,102.12,1
88,88,1,102.23,102.23,0
266,106,2,146.0,292.01,1
273,273,1,163.2,163.2,0
119,119,1,334.54,334.54,1
188,188,1,119.31,119.31,0
86,86,1,155.28,155.28,0
149,78,2,207.44,414.87,1
275,23,4,410.44,1641.76,1
55,55,1,1220.38,1220.38,1
274,3,20,225.29,4505.85,0
67,67,1,156.91,156.91,1
281,281,1,188.56,188.56,0
84,84,1,117.73,117.73,0
80,80,1,170.04,170.04,1
275,160,2,145.67,291.34,0
174,174,1,252.81,252.81,1
274,64,5,216.05,1080.23,0
277,24,8,626.13,5009.07,0
275,21,5,166.12,830.62,0
185,148,2,115.39,230.78,0
146,76,3,322.32,966.97,0
276,276,1,185.97,185.97,0
176,176,1,152.76,152.76,0
190,18,2,130.9,261.79,0
274,164,3,1653.03,4959.1,1
237,17,6,267.61,1605.65,0
261,140,5,528.08,2640.38,0
87,85,2,106.24,212.49,0
277,95,4,124.42,497.7,0
276,7,37,488.17,18062.28,0
78,78,1,179.93,179.93,1
107,107,1,135.93,135.93,1
270,44,13,396.36,5152.68,0
165,59,2,367.83,735.66,1
246,4,11,356.79,3924.73,0
177,177,1,343.62,343.62,1
276,24,3,107.16,321.48,0
181,181,1,121.17,121.17,1
58,58,1,377.74,377.74,0
227,227,1,207.73,207.73,1
189,64,2,239.3,478.6,0
223,183,2,744.75,1489.5,1
220,32,7,176.39,1234.76,0
242,15,7,144.09,1008.6,0
280,35,37,988.51,36575.0,0
267,125,3,271.35,814.04,0
121,121,1,370.8,370.8,1
199,72,3,952.92,2858.75,0
190,190,1,848.05,848.05,0
164,164,1,239.96,239.96,0
87,87,1,1109.53,1109.53,1
280,280,1,106.2,106.2,1
183,1,2,491.04,982.07,1
94,93,2,430.98,861.96,0
13,13,1,735.67,735.67,1
80,80,1,880.85,880.85,1
276,13,22,304.66,6702.59,0
273,120,4,223.9,895.61,1
275,116,2,124.02,248.05,0
164,164,1,88.2,88.2,1
189,189,1,306.94,306.94,1
36,2,3,678.76,2036.28,0
216,216,1,381.32,381.32,1
191,123,2,228.9,457.81,1
280,24,5,805.42,4027.1,0
111,11,4,342.65,1370.6,1
90,90,3,13305.5,39916.5,1
281,241,3,292.0,876.0,1
267,267,1,102.28,102.28,0
190,104,2,496.77,993.54,1
42,42,1,532.98,532.98,0
177,49,3,344.28,1032.83,0
280,219,6,53.25,319.5,1
135,49,3,386.42,1159.25,1
153,153,1,484.95,484.95,1
226,34,2,188.28,376.55,0
280,280,1,288.5,288.5,0
209,1,7,239.85,1678.97,0
112,42,2,395.48,790.97,0
123,28,2,337.86,675.73,0
42,42,1,244.8,244.8,1
153,153,1,266.4,266.4,1
41,41,1,358.82,358.82,1
196,196,1,295.15,295.15,0
205,22,3,544.59,1633.78,1
114,114,1,1069.47,1069.47,0
99,99,1,90.75,90.75,0
178,21,12,899.62,10795.48,0
127,34,3,390.08,1170.24,0
199,14,10,279.67,2796.73,0
77,77,1,330.11,330.11,1
170,13,3,280.74,842.23,0
209,35,3,327.47,982.42,1
148,35,4,153.72,614.86,0
147,147,1,139.05,139.05,1
4,4,1,582.9,582.9,0
244,147,2,89.48,178.96,1
172,23,5,345.62,1728.11,0
133,133,1,259.45,259.45,1
220,0,10,356.08,3560.84,0
156,135,2,362.02,724.03,0
199,72,2,663.58,1327.16,1
148,148,1,623.5,623.5,1
41,41,1,520.8,520.8,1
177,17,5,713.92,3569.62,0
95,21,6,397.2,2383.21,0
266,62,2,752.68,1505.37,0
269,20,18,498.33,8969.97,0
265,265,1,158.16,158.16,1
100,100,1,155.0,155.0,0
247,116,2,181.62,363.23,0
281,281,1,487.75,487.75,1
228,228,1,158.8,158.8,1
239,239,1,1289.5,1289.5,1
144,43,3,295.58,886.74,0
230,230,1,135.75,135.75,1
168,168,1,40.5,40.5,1
227,141,3,485.04,1455.12,0
275,275,1,87.5,87.5,1
177,83,2,217.5,435.0,0
176,62,2,311.42,622.85,1
98,98,1,235.23,235.23,0
76,76,1,229.26,229.26,0
120,4,5,373.78,1868.88,0
240,1,32,391.8,12537.67,0
273,27,3,348.11,1044.32,1
276,34,11,406.32,4469.53,0
266,160,2,386.62,773.25,0
32,0,2,96.82,193.64,1
216,2,3,322.58,967.75,0
155,34,4,233.32,933.26,0
219,13,4,332.08,1328.32,0
265,265,1,316.58,316.58,1
35,35,1,476.3,476.3,0
183,7,3,78.9,236.7,0
261,71,2,161.76,323.52,0
133,133,1,331.18,331.18,1
273,273,1,383.07,383.07,0
149,149,1,101.8,101.8,1
237,226,2,164.18,328.35,1
150,91,2,325.82,651.63,0
4,4,1,300.04,300.04,0
226,24,8,483.17,3865.35,0
84,84,1,305.75,305.75,1
188,23,5,256.81,1284.05,0
274,274,1,403.25,403.25,1
226,226,1,585.0,585.0,1
157,133,2,377.88,755.75,1
270,266,2,161.04,322.08,1
142,142,1,409.4,409.4,1
218,218,1,154.41,154.41,1
225,123,3,292.27,876.82,0
202,37,3,741.34,2224.03,0
148,147,2,214.8,429.6,1
48,21,2,306.03,612.06,1
184,184,1,197.0,197.0,1
281,125,12,187.29,2247.51,1
206,206,1,321.05,321.05,1
135,111,2,546.83,1093.65,0
92,3,2,386.39,772.78,0
219,99,3,348.46,1045.38,0
191,35,6,224.14,1344.86,0
156,156,1,297.94,297.94,0
169,42,3,838.61,2515.84,1
266,146,2,257.08,514.15,1
30,30,1,356.0,356.0,1
164,15,10,535.7,5357.03,0
149,14,7,1064.59,7452.12,0
91,91,1,300.55,300.55,0
77,77,1,173.85,173.85,0
35,35,1,300.36,300.36,1
56,56,1,98.45,98.45,1
191,191,1,317.15,317.15,1
125,76,2,311.58,623.16,1
280,8,7,258.68,1810.77,1
43,43,1,254.82,254.82,1
